ta,tr,rh,vel_r,vel,clo_d,clo,activity_60,age,gender,thermal_sensation,pmv,thermal_comfort,ppd
fan,window,door,heater,t_out,rh_out,t_out_isd,rh_out_isd,set,pmv,ppd,pmv_ce,ppd_ce,t_mot_isd
,,,,18.615,66.66999999999999,20.195833333333333,50.75649117330784,23.4,-0.66,14.2,-0.7,15.2,18.4
,,,,18.615,66.66999999999999,20.195833333333333,50.75649117330784,24.7,-0.1,5.2,-0.1,5.2,18.4
,,,,18.615,66.66999999999999,20.195833333333333,50.75649117330784,25.4,0.3,6.8,0.3,6.8,18.4
,,,,18.615,66.66999999999999,20.195833333333333,50.75649117330784,27.5,0.55,11.4,0.43,8.9,18.4
,,,,18.615,66.66999999999999,20.195833333333333,50.75649117330784,27.5,0.84,20,0.73,16.3,18.4
,,,,15.75,87.75,16.366666666666667,66.62160719434137,26.5,0.41,8.5,0.38,8,19
,,,,15.75,87.75,16.366666666666667,66.62160719434137,26.4,0.49,9.9,0.49,9.9,19
,,,,15.75,87.75,16.366666666666667,66.62160719434137,25.8,0.36,7.8,0.36,7.8,19
,,,,15.75,87.75,16.366666666666667,66.62160719434137,25.6,0.25,6.3,0.32,7.1,19
,,,,15.75,87.75,16.366666666666667,66.62160719434137,27.5,0.57,11.7,0.57,11.7,19
,,,,15.75,87.75,16.366666666666667,66.62160719434137,23.5,-0.48,9.9,-0.48,9.9,19
,,,,15.75,87.75,16.366666666666667,66.62160719434137,24.7,0,5,0,5,19
,,,,15.75,87.75,16.366666666666667,66.62160719434137,27.7,0.62,13,0.52,10.6,19
,,,,15.75,87.75,16.366666666666667,66.62160719434137,,-0.4,8.3,,,19
,,,,15.75,87.75,16.366666666666667,66.62160719434137,24.2,-0.24,6.2,-0.24,6.2,19
,,,,20.015,75.35499999999999,18.8625,70.61615748886048,26.5,0.46,9.5,0.51,10.4,18.3
,,,,20.015,75.35499999999999,18.8625,70.61615748886048,27.9,0.74,16.6,0.49,10.1,18.3
,,,,20.015,75.35499999999999,18.8625,70.61615748886048,26.2,0.38,8.1,0.29,6.7,18.3
,,,,20.015,75.35499999999999,18.8625,70.61615748886048,17.3,,,-2.72,97,18.3
